Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Cost,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep
1052,2/3/2023,Bob,North,5053.97,18,Furniture,152.75,152.75,Returning,0.09,Cash,Online,North-Bob
1093,4/21/2023,Bob,West,4384.02,17,Furniture,3816.39,3816.39,Returning,0.11,Cash,Retail,West-Bob
1015,9/21/2023,David,South,4631.23,30,Food,261.56,261.56,Returning,0.2,Bank Transfer,Retail,South-David
1072,8/24/2023,Bob,South,2167.94,39,Clothing,4330.03,4330.03,New,0.02,Credit Card,Retail,South-Bob
1061,3/24/2023,Charlie,East,3750.2,13,Electronics,637.37,637.37,New,0.08,Credit Card,Online,East-Charlie
1021,2/11/2023,Charlie,West,3761.15,32,Food,900.79,900.79,New,0.21,Cash,Online,West-Charlie
1083,4/11/2023,Bob,West,618.31,29,Furniture,2408.81,2408.81,Returning,0.14,Cash,Online,West-Bob
1087,1/6/2023,Eve,South,7698.92,46,Furniture,3702.51,3702.51,New,0.12,Bank Transfer,Online,South-Eve
1075,6/29/2023,David,South,4223.39,30,Furniture,738.06,738.06,New,0.05,Bank Transfer,Online,South-David
1075,10/9/2023,Charlie,West,8239.58,18,Clothing,2228.35,2228.35,New,0.13,Bank Transfer,Online,West-Charlie
1088,11/16/2023,Eve,North,8518.45,13,Furniture,2440.11,2440.11,New,0.23,Bank Transfer,Retail,North-Eve
1100,8/14/2023,Bob,West,2198.74,43,Food,1100.81,1100.81,Returning,0.08,Bank Transfer,Online,West-Bob
1024,11/11/2023,Eve,West,6607.8,21,Food,622.01,622.01,Returning,0,Bank Transfer,Retail,West-Eve
1003,12/31/2023,Alice,South,4775.59,30,Furniture,4190.28,4190.28,New,0.2,Cash,Online,South-Alice
1022,8/17/2023,Charlie,South,8813.55,21,Food,2537.2,2537.2,New,0.29,Bank Transfer,Retail,South-Charlie
1053,10/16/2023,Bob,North,2235.83,48,Furniture,121.19,121.19,New,0.18,Cash,Retail,North-Bob
1002,5/30/2023,David,North,6810.35,17,Furniture,4024.76,4024.76,Returning,0.04,Cash,Online,North-David
1088,10/4/2023,Bob,East,6116.75,40,Electronics,4904.93,4904.93,New,0.1,Credit Card,Retail,East-Bob
1030,7/17/2023,David,West,3023.48,19,Clothing,3049.33,3049.33,Returning,0.26,Cash,Online,West-David
1038,3/11/2023,Bob,South,1452.35,15,Clothing,2543.36,2543.36,Returning,0.07,Cash,Online,South-Bob
1002,4/22/2023,Eve,North,6551.23,9,Electronics,4398.16,4398.16,New,0.18,Bank Transfer,Online,North-Eve
1064,1/4/2023,Eve,East,7412.11,10,Electronics,4764.96,4764.96,New,0.12,Cash,Online,East-Eve
1060,12/16/2023,Eve,East,3224.71,44,Clothing,3784.96,3784.96,New,0.06,Bank Transfer,Retail,East-Eve
1021,11/27/2023,Alice,South,6483.84,31,Furniture,2254.99,2254.99,Returning,0.24,Bank Transfer,Online,South-Alice
1033,11/14/2023,David,South,4011.8,23,Furniture,2981.5,2981.5,Returning,0.22,Bank Transfer,Retail,South-David
1076,12/16/2023,Eve,East,7160.75,30,Clothing,3519.63,3519.63,New,0.2,Credit Card,Retail,East-Eve
1058,4/5/2023,Alice,North,2072.23,33,Furniture,1011.65,1011.65,Returning,0.07,Bank Transfer,Retail,North-Alice
1022,6/1/2023,David,East,8913.13,9,Electronics,2263.65,2263.65,New,0.03,Cash,Online,East-David
1089,11/7/2023,Bob,West,2945.36,47,Furniture,4157.62,4157.62,New,0.17,Bank Transfer,Retail,West-Bob
1049,5/17/2023,Alice,West,3741.08,1,Furniture,3290.89,3290.89,Returning,0.17,Bank Transfer,Online,West-Alice
1091,9/4/2023,Charlie,South,675.11,44,Food,2085.46,2085.46,Returning,0.06,Bank Transfer,Retail,South-Charlie
1059,8/31/2023,Alice,North,1203.97,35,Food,3333.64,3333.64,Returning,0.02,Credit Card,Online,North-Alice
1042,1/31/2023,Alice,North,5207.03,11,Food,635.2,635.2,Returning,0.02,Cash,Online,North-Alice
1092,2/9/2023,David,West,2749.17,34,Furniture,2037.41,2037.41,New,0.3,Credit Card,Online,West-David
1060,8/17/2023,Bob,East,8371.25,16,Clothing,3975.99,3975.99,New,0.24,Cash,Online,East-Bob
1080,2/5/2023,Charlie,South,245.46,9,Electronics,1141.52,1141.52,New,0.28,Credit Card,Retail,South-Charlie
1015,8/11/2023,Eve,East,3853.03,32,Furniture,970.51,970.51,Returning,0.06,Cash,Retail,East-Eve
1062,1/6/2023,Eve,East,3439.72,15,Clothing,4756.55,4756.55,New,0.29,Credit Card,Online,East-Eve
1062,11/18/2023,Alice,East,291.34,12,Furniture,1088.99,1088.99,Returning,0.04,Bank Transfer,Retail,East-Alice
1047,8/8/2023,David,North,1331.25,33,Electronics,1341.55,1341.55,Returning,0.15,Credit Card,Online,North-David
1062,3/16/2023,David,West,4195.06,45,Furniture,4849.6,4849.6,Returning,0.25,Credit Card,Online,West-David
1051,1/4/2023,Eve,North,4979.36,14,Electronics,3686.81,3686.81,New,0.1,Bank Transfer,Retail,North-Eve
